"Toggle navigation","Toggle navigation"
"Tickets List","Lista Ticket"
"New Ticket","Nuovo Ticket"
"Search Tickets","Cerca Ticket"
"Account","Account"
"Administration","Amminstrazione"
"Site Managment","Amminstrazione Sito"
"Users","Utenti"
"Departments Management","Amminstrazione Dipartimenti"
"Mail Settings","Impostazioni Mail"
"Payment Setting/List","Impostazioni/Lista Pagamenti"
"FAQs Management","Amministrazione FAQs"
"Reported Tickets","Tickets Segnalati"
"Logout","Logout"
"Your Session has Expired, please log in again","La tua Sessione &egrave; scaduta, per favore effettua di nuovo l'accesso"
"Your IP is different from the one where you have logged in, please log in again","Il tuo IP &egrave; cambiato,  per favore effettua di nuovo l'accesso"
"Invalid Session ID, please log in again","Invalid Session ID,  per favore effettua di nuovo l'accesso"
"Invalid Token, please log in again","Token  non valido,  per favore effettua di nuovo l'accesso"
"Yes","S&igrave;"
"No","No"
"Name","Nome"
"Password","Password"
"Repeat Password","Ripetere Password"
"Email","Email"
"Please complete all the fields","Per favore completa tutti i campi"
"Welcome to the support center","Benvuto al centro supporto"
"Hello","Ciao"
"You are already logged in, you can start to ask for support","You are already logged in, you can start to ask for support"
"You Are Banned","Sei stato Bannato"
"Your behaviour was not acceptable","Il tuo comportamento era inaccettabile"
"Activation","Attivazione"
"You must activate your account to proceed, please check your inbox","Per procedere bisogna prima attivare l'account, per favore controlla la casella d'entrata della mail"
"Verify Status","Verifica Stato"
"Send Mail Again","Invia Mail Nuovamente"
"Login","Login"
"New User","Nuovo Utente"
"Privacy Policy","Politica Privacy"
"Do you accept the Privacy policy?","Accetti la Politica della Privacy?"
"Forgotten Password","Password Dimenticata"
"An email has been sent to your inbox","Una mail &egrave; stata inviata alla tua casella"
"No changes has been made, please wait 5 minutes from your last check","Non &egrave; avvenuto alcun cambimento, per favore aspetta 5 minuti dal controlo precedente"
"A new Email has been sent, the previous code now is invalid","UNa nuova mail è stata inviata, il codice precedente non &egrave; non pi&ugrave; valido"
"Empty Field or Password mismatch","Campo Vuoto o Password non Combacianti"
"You must accept our Privacy Policy to proceed","Per procedere devi prima accettare la nostra politica riguardante la privacy"
